|URL|Version|
|2017.youareherecanberra.com.au|1.12.4|
|acs-packaging.webqem.com|N/A|
|adytum.com.au|3.4.1|
|aie.webqem.com|N/A|
|airliefm.com.au|2.2.2|
|airliefundsmanagement.com.au|2.2.2|
|alastairswaynfoundation.org|1.12.4|
|amwaynewsroom.webqem.com|N/A|
|api.ethosurban.com|1.12.4|
|api-staging.ethosurban.com|1.12.4|
|app.edugamecloud.com.au|N/A|
|apply.smitrust.com.au|1.9.1|
|apply.smitrust.com.au|1.9.1|
|apply.ybr.com.au|1.9.1|
|archergriffith.com.au|1.12.4|
|aseanact.org|3.6.0|
|au.magellangroup.com.au|3.6.0|
|au.magnew.staging.webqem.net|3.6.0|
|ausiex.staging.webqem.net|3.5.1|
|australiancurriculumsupplies.com.au|1.12.4|
|australianow2019.com|3.4.1|
|bablgroupaction.staging.webqem.net|3.4.1|
|bellasset.com.au|3.1.1|
|blog.eyecareplus.com.au|N/A|
|blog.kokodatreks.com|3.6.0|
|blogkokoda.staging.webqem.net|3.5.1|
|brakesdirect-preprod.webqem.net|N/A|
|brakesdirect-test.webqem.net|1.12.4|
|brassey.net.au|3.5.1|
|brasseyhotel.com.au|3.5.1|
|brickworksyarralumla.com.au|1.12.4|
|brooks.staging.webqem.net|2.2.4|
|brucecrowe.com.au|N/A|
|burburyhotel.com.au|3.5.1|
|burburyterrace.com.au|3.5.1|
|buvette.com.au|3.6.0|
|ca.mfgam.com.au|3.6.0|
|campaigns.vow.com.au|3.6.0|
|campaigns.ybr.com.au|3.6.0|
|canberraequestriancentre.com.au|3.6.0|
|canberrayouththeatre.com.au|3.4.1|
|capitaldivide.com.au|3.4.1|
|cas.staging.webqem.net|3.5.1|
|caspre.staging.webqem.net|3.6.0|
|caudit.staging.webqem.net|3.5.1|
|cerrone.com.au|3.5.1|
|cgi.formstar.com|N/A|
|cgi.formstar.com|N/A|
|chamberlains.com.au|3.5.1|
|chamberlains.swelldev.com.au|3.5.1|
|childrens-services.ywca-canberra.org.au|1.12.4|
|classroom-acts-01.afpcollege.net.au|TIMEOUT|
|classroom-fms-01.afpcollege.net.au|TIMEOUT|
|clearbridge.staging.webqem.net|3.5.1|
|clearrun.com.au|N/A|
|clients.webqem.com|N/A|
|clinicaloutcomemeasures.org|3.4.1|
|clinicaloutcomemeasures.staging.webqem.net|3.4.1|
|clintoncapitalpartners.staging.webqem.net|2.2.4|
|cna.staging.webqem.net|N/A|
|codepress.com.au|3.4.1|
|confluence.webqem.com|2.2.4|
|confluence.webqem.com|2.2.4|
|cooperinvestors.staging.webqem.net|3.5.1|
|coroneos.com.au|1.12.4|
|cosmicact.com.au|2.1.3|
|crossingnewcastle.com.au|1.12.4|
|daintreecapital.com.au|3.5.1|
|danmurphiesgifting-preprod.webqem.net|TIMEOUT|
|de.mfgam.com.au|3.6.0|
|deploy.webqem.com|N/A|
|desirelinescc.com.au|3.4.1|
|digital-learning.mindfulemployer.com.au|3.3.1|
|digital-learning-uat.mindfulemployer.com.au|3.3.1|
|dksn.com.au|2.2.2|
|docksidekingston.com.au|1.12.4|
|domagroup.com.au|1.12.4|
|domahotels.com.au|3.5.1|
|domahotelscanberra.com.au|3.5.1|
|domashop.swelldev.com.au|3.4.1|
|download.webqem.com|N/A|
|dps-entitlement.publishe.rs|N/A|
|dps-entitlement.webqem.com|N/A|
|dpsproduction.hmca.com.au|N/A|
|dpsproduction.hmca.com.au|N/A|
|dps-publications.publishe.rs|1.11.1|
|dziecipotrzebujauwagi.pl|3.3.1|
|ebooks.webqem.com|2.1.4|
|edugamecloud.com.au|TIMEOUT|
|equazen.co.za|3.3.1|
|ethosinsite.com|3.3.1|
|ethosinsite.staging.webqem.net|3.3.1|
|ethosurban.com.au|N/A|
|event.webqem.com|3.5.1|
|event.webqem.com|3.5.1|
|event-publish.webqem.com|N/A|
|explorerstudios.co|3.4.1|
|extranet.sanzarrugby.com|2.2.2|
|extranet.sanzarrugby.com|2.2.2|
|fidelity.staging.webqem.net|3.6.0|
|fitrightaustralia.com.au|1.12.4|
|flowinteriors.com.au|1.10.1|
|frontiermutualfunds.com|3.5.1|
|frontierpartners.com|3.5.1|
|functionroomgym.com.au|3.5.1|
|futureshub.anu.edu.au|3.4.1|
|get-on.bid|1.11.2|
|ghbuildersusa.com|1.12.4|
|ginsanahealthsa.com|3.3.1|
|grants.technology|N/A|
|greenlifestructures.com.au|3.6.0|
|greystreetbrisbane.com.au|3.5.1|
|halehealth.com.au|1.11.1|
|handsacrosscanberra.org.au|3.4.1|
|hk.mfgam.com.au|3.6.0|
|homebyholly.com.au|1.12.4|
|homesbyhowe.com.au|3.4.1|
|hotelrealm.com.au|3.4.1|
|huntingtonnewcastle.com.au|1.12.4|
|icinga2.syd3-veepshosting.net|3.4.1|
|ie.mfgam.com.au|3.6.0|
|improvirri-sra.swelldev.com.au|3.6.0|
|institutional.fidelity.com.au|N/A|
|institutional.magellangroup.com.au|TIMEOUT|
|italc.edu.au|3.2.1|
|jamesandcoapartments.com.au|1.12.4|
|japan.celebrateaustralianow.com|N/A|
|johnco.shopifyapps.we.bqe.ms|2.1.4|
|johnco.staging.webqem.net|2.1.4|
|jordan.sfihealth.com|3.3.1|
|joshfrydenberg.com.au|1.11.1|
|joshfrydenberg.swelldev.com.au|1.11.1|
|ldfaustralia.com|3.5.1|
|leeleebefrank.com|N/A|
|legacy.kokodatreks.com|N/A|
|liberocapital.com.au|1.12.4|
|likefatherlikeson.staging.webqem.net|2.2.4|
|lilotang.com.au|3.4.1|
|lilotang.swelldev.com.au|3.4.1|
|littlenationalapartments.com.au|1.12.4|
|littlenationalhotel.com.au|3.4.1|
|lnhotels.com.au|3.4.1|
|m23.jdlighting.com.au|N/A|
|mafinancial.com|3.6.0|
|mafinancial.staging.webqem.net|3.6.0|
|magento2demo.webqem.net|N/A|
|magentodemo.webqem.net|1.12.4|
|malaysia.celebrateaustralianow.com|3.4.1|
|media.webqem.com|N/A|
|meetings.sanzarrugby.com|3.4.1|
|meetings.sanzarrugby.com|3.4.1|
|melrosewoden.com.au|3.4.1|
|mfgam.com.au|3.6.0|
|miles.staging.webqem.net|2.2.4|
|milesadvisorypartners.com|2.2.4|
|milesadvisorypartners.com.au|2.2.4|
|moelisaustralia.com|3.6.0|
|moodle.webqem.com|TIMEOUT|
|myendnotes.staging.webqem.net|3.5.1|
|nationalgallery.gov.au|3.3.1|
|nga.gov.au|3.3.1|
|nga.gov.au|3.3.1|
|nga.staging.webqem.net|3.3.1|
|ngoacf1.syd3-veepshosting.net|TIMEOUT|
|ngoacf1.syd3-veepshosting.net|TIMEOUT|
|nz.magellangroup.com.au|3.6.0|
|omb.staging.webqem.net|1.11.2|
|ostani.com.au|3.4.1|
|ostani.swelldev.com.au|3.4.1|
|owhs.whssystems.com.au|3.3.1|
|pacificdermatology.org.au|3.2.0|
|perennial.net.au|3.5.1|
|periscopekasaustralia.com.au|3.5.1|
|phoenixeduc.com|1.12.4|
|phoenixeducation.com.au|1.12.4|
|plantationdirect.com.au|N/A|
|pmcapital.staging.webqem.net|N/A|
|potters.staging.webqem.net|3.1.1|
|pottersherbals.co.uk|3.1.1|
|programs.aspectmentalhealth.com|3.3.1|
|proposals.homebyholly.com.au|1.12.4|
|proximity.com.au|3.4.1|
|publishe.rs|1.11.1|
